AUTHOR ID,AUTHOR NAME (ORIGINAL LANGUAGE),AUTHOR NAME TRANSLITERATION,TITLE ID,TITLE ID,TITLE OF WORK (ORIGINAL LANGUAGE),TITLE OF WORK TRANSLITERATION,LANGUAGE,GENRE,TYPE,DATE,MANUSCRIPT CURRENT LOCATION / PRINT ORIGINAL LOCATION,PUBLISHER,SCRIPT,PAGE COUNT,DIMENSIONS,ADDITIONAL INFO,SPECIFIC EDITION BIBLIOGRAPHY,CONTENT LOCATION,GENERAL BIBLIOGRAPHY,NOTES
1,علي بن عبد الرحمان,ʿAlī b. ʿAbd al-Raḥmān,,,ترجمهء عجائب المخلوقات,Terceme-i ʿAcāʾib al-Mahlūḳāt,Turkish,Terceme; ‘Acâ’ib al-Mahlûkât,MANUSCRIPT,1099 AH,"İstanbul Üniversitesi, TY, nr. 524",N/A,Nesihle,174 yaprak,22x15(6x13) cm,15 str.,[Not provided],[Not provided],"Fr. Taechner, ""Osmanlılar'da Coğrafya"", TM, II, İstanbul, 1926, s.275; •
Adıvar, Osmanlı Türkleri'nde İlim, s.29; G. Kut, s.184-185; aynı müellif, ""'Aca'ib alMahlükat"", DİA, I, 316; Kemal Özdemir, Osmanli Deniz Haritaları Ali Macar Reis Atlası, ""'İstanbul 1992, s. 28; R. Şeşen, Onbeşinci Yüzyılda Tüıkçeye Tercümeler, s. 907. Eserin aslı için bkz. KZ, s. 1127-1128; İA, VI, 530; GAL, I, 481, S, 1, 882.",
2,إبراهيم الفقير بن أحمد بن سليمان الكاتبي,Ibrāhīm al-Faqīr b. Aḥmad b. Sulaymān al-Kātibī,,,[Not provided; should be in Arabic],Akdeniz Avrupa ve Karadeniz Havzaları Haritası (Portlandı),Arabic,Harita ,MANUSCRIPT,810 AH,"Hazine, nr. 1823",N/A,N/A,N/A,54x88(38x54) cm,[Not provided],"F. Karatay, TY, I, 464-465, nr. 1407",Nil; Tuna; Akdeniz; Karadeniz ve sahilleri; Atlas Okyanusu kıyılarındaki Avrupa ve Afrika kıyıları; İngiltere; Batı Avrupa; Batı Afrika; Tunus,"İbrahim Hakkı (Konyalı), Topkapı Sarayında Deri Üzerine Yapılmış Eski
Haritalar, İstanbul 1936, s. 258-261; The History of Cartography, II, s. 264-265.",Work is unnamed in text; the text says that the author wrote a map of the Mediterranean and the Black Sea and their surroundings.
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,974 AH,"Reşid Efendi, nr. 69",N/A,Talikle,yap. 1-32,"10,5x31(7,5x15) cm",32 str,[Not provided],[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,996 AH,"Hacı Beşir Ağa, nr. 656/32",N/A,Nesihle,yap. 152b-159b,"17,5x29,5(11,5x23,5) cm",35 str,[Not provided],[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",Unclear what page numbers mean
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,~900 AH,"Saliha Hatun, nr. 110/1",N/A,Nestalikle,yap. 1b-94b,"14,5x21(10x15,5) cm",18 str,[Not provided],[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",Unclear what page numbers mean
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,~900 AH,"Hüsrev Paşa, nr. 431",N/A,Talikle,47 yaprak,"12x19(6x13,2) cm","21 str; Terceme-i Aca'ib al-Mahlukat Müellif çeşitli kitaplardan, kendi hatıralarından faydalanarak yazmıştır. Tashih görmüş.",[Not provided],[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,1022 AH,"Vatican, Berg, nr. 27",N/A,Nesihle,40 yaprak,"15x20,5 cm",19 str,"Katalog, s. 346.",[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,1023 AH,"Antalya, Tekelioğlu, nr. 775",N/A,Nesihle,81 yaprak,"14,5x20 (9,5x14) cm",11 str,[Not provided],[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,1025 AH (Safer),"Wien, nr.1453",N/A,Talikle,59 yaprak,[Not provided],[Not provided],"G. Flugel, Die arabischen ..... türkischen Handsch ..... , II, 520-521.",[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",
3,أحمد بيجان,Aḥmed Bīcān,,,عجائب المخلوقات,ʿAcāʾib al-Mahlūḳāt,Turkish,‘Acâ’ib al-Mahlûkât,MANUSCRIPT,1028 AH,"Milli Kütüphane, A. 3028/1",N/A,Nesihle,yap. 1-79,"18,5x12,5(12,5x8) cm","13 str; istinsahı Şeyhzade
Mehmed Harpüti tarafından","MKAHYK, I, 12.",[Not provided],"ŞN, s. 111; Mecdi, s. 128; OM, 1, 16; Franz Taeschner, 'Die Geographische
Literatur der Osmanen', ZDMG N. F. 2, LXXVII, 1923, s. 36-38;GAL, S. I, 882; İA, I, 181-182,VI, 530; V. L. Menage, ""Bidjan"", EI2, I, 1202; Türk Meşhurları, s. 19; Adıvar, s. 29; G. Kut, aynı makale, s. 190; DİA, I, 316-317; Götz, nr. 332; Şeşen, aynı yer; Amil Çelebioğlu, ""Ahmed
Rican"", DİA, il, 49-51; Semavi Eyice, ""Ahmed Bican Türbesi"", DİA, il, 52.",
